,pods_name,iface
0,adservice-77d5cd745d-jz2jd,['calic165e27d2c4']
0,cartservice-74f56fd4b-s5rw4,['cali2d6f78cabf7']
0,checkoutservice-69c8ff664b-5jdrq,['cali3c452adc0f6']
0,compose-post-service-6cbf95587d-ljrvp,['cali7c8d216eb82']
0,currencyservice-77654bbbdd-d856v,['calie84bbe38628']
0,dvwa-5cf87f8fff-262fd,['cali325d075dd67']
0,emailservice-54c7c5d9d-dxlj8,['cali09ef14a0d98']
0,frontend-99684f7f8-r46f8,['cali771d1325d51']
0,home-timeline-redis-7bdcbdc45b-nbmjw,['calia2462c2c3d6']
0,home-timeline-service-9f8cc8586-vf8cj,['calid2119dae14b']
0,jaeger-78c65b8fd4-v2gw5,['caliccea7ec3390']
0,loadgenerator-555fbdc87d-lb7hb,['calibfd884bdbab']
0,mariadb-7c6d9dc48d-l699r,['cali9771ea74849']
0,media-frontend-f5c6d867c-t2c6k,['calic9c1589c224']
0,media-memcached-5f5bfbb945-8tpjd,['cali6aa8f5896f3']
0,media-mongodb-5cbb49d65b-2lv9s,['cali3f75d27ca12']
0,media-service-68c6fc4ff8-ds48j,['cali341e3ddd248']
0,nginx-thrift-6455574474-hl6rr,['calife587191a5b']
0,paymentservice-bbcbdc6b6-s6czp,['cali7656d4e873c']
0,post-storage-memcached-58d5d76557-6fvgw,['cali6c232064e04']
0,post-storage-mongodb-6d5b574d9d-fk9w2,['cali5a7c8c3eb33']
0,post-storage-service-6b76fbd99-m5z2b,['calif99dc49e2b7']
0,productcatalogservice-68765d49b6-tz6lw,['cali40b21864b7f']
0,recommendationservice-5f8c456796-q5zx8,['cali6518af1907e']
0,redis-cart-78746d49dc-k54gq,['cali7fa828e47d6']
0,shippingservice-5bd985c46d-m2p48,['calic1a694a9a74']
0,social-graph-mongodb-79bffc589d-kzhnd,['cali9a93ab15360']
0,social-graph-redis-6dc48b5447-c4h92,['cali69a1ee86fe0']
0,social-graph-service-9df948949-t9tj5,['caliaf96ded1130']
0,text-service-7b6f8767c9-mbrpf,['cali55c7e134de5']
0,unique-id-service-5cccc69dc6-4258t,['cali9fa3ea95246']
0,url-shorten-memcached-6765c676f7-scbxm,['caliec475d8f1b4']
0,url-shorten-mongodb-7c7758f87c-894vp,['cali2c1b3322adb']
0,url-shorten-service-766c85bf68-lzk5k,['cali0edad674a7e']
0,user-memcached-64d99c88d5-ljh89,['calic2b1119898d']
0,user-mention-service-58cb87cd75-qxxzn,['cali4abbc26ec60']
0,user-mongodb-7dcb8854df-rjfjs,['califbc647719a4']
0,user-service-bc7445c59-lmrr7,['cali2a46f8d5861']
0,user-timeline-mongodb-64d945447c-vxrt7,['cali7bb2c90a494']
0,user-timeline-redis-77b654db84-j6x6z,['calid7ed6fe144d']
0,user-timeline-service-7dd944956b-dk5jl,['cali33d0dc8abd8']
