,pods_name,iface
0,adservice-77d5cd745d-7kc6z,['calieb111111a9c']
0,cartservice-74f56fd4b-rg9d4,['cali12583e3266e']
0,checkoutservice-69c8ff664b-dk9zr,['calid33196077f2']
0,compose-post-service-6cbf95587d-cxz95,['calide355da0f7a']
0,currencyservice-77654bbbdd-h7wpj,['calid9727135778']
0,dvwa-5cf87f8fff-vqrxx,['caliaf397810193']
0,emailservice-54c7c5d9d-5nbtq,['cali89e39f894f3']
0,frontend-99684f7f8-w9lh5,['cali52cb459f106']
0,home-timeline-redis-7bdcbdc45b-qxdgg,['cali0c09202eb0a']
0,home-timeline-service-9f8cc8586-f2xps,['cali1125a53fe62']
0,jaeger-78c65b8fd4-dggrb,['cali023be7ada2f']
0,loadgenerator-555fbdc87d-8cnd8,['lo lo enp0s31f6 enp0s31f6 br-bdafd240dfbe br-7dcd0ef349ba br-b5a705df90ba docker0 cali2969564959b cali67bcc273422 cali7bf40cb85bc cali575b58f5e1c calidbd7ed8a623 calid33196077f2 caliaf397810193 calic190609f0ab cali41872447bc4 cali18e7763d261 cali016c6d0abd6 califa51c926e66 cali89e39f894f3 calieb111111a9c cali0c8069b663f cali1125a53fe62 cali03ce2e3247f calid3491aa7d74 cali8ef13e1bbec cali1b69d4363ba califdab0b7786c tunl0 calide355da0f7a cali0813593a8f0 calib742108888a calif59ef22d956 cali06bc719aa28 cali2e06b6f410c caliea7b9f1d09c calid4de69d324a cali12583e3266e calib4725970d89 calice608c3a276 caliac6b57d3bba cali023be7ada2f cali52cb459f106 cali0f96dae84f4 cali1dce4dd40cb cali9ed83ef8357 cali313b9772477 calib31bcf92f91 calid9727135778 cali8f70e0b4532 cali5a9eb9016b4 cali73bfa4f99f7 cali0c09202eb0a cali44369389ff5']
0,mariadb-7c6d9dc48d-zsqm7,['calib742108888a']
0,media-frontend-f5c6d867c-cmxjr,['cali313b9772477']
0,media-memcached-5f5bfbb945-94g7r,['cali41872447bc4']
0,media-mongodb-5cbb49d65b-tp5x6,['calic190609f0ab']
0,media-service-68c6fc4ff8-6bmpg,['calice608c3a276']
0,nginx-thrift-6455574474-zqct2,['cali1b69d4363ba']
0,paymentservice-bbcbdc6b6-jdrc9,['calib31bcf92f91']
0,post-storage-memcached-58d5d76557-lw59w,['cali67bcc273422 califa51c926e66 tunl0 caliac6b57d3bba calid9727135778']
0,post-storage-mongodb-6d5b574d9d-65bpr,['cali8ef13e1bbec']
0,post-storage-service-6b76fbd99-wlqqc,['cali8f70e0b4532']
0,productcatalogservice-68765d49b6-blrfd,['cali575b58f5e1c']
0,recommendationservice-5f8c456796-j9tkg,['cali73bfa4f99f7']
0,redis-cart-78746d49dc-8rvz5,['cali2e06b6f410c']
0,shippingservice-5bd985c46d-6qz94,['caliea7b9f1d09c']
0,social-graph-mongodb-79bffc589d-qkbml,['cali1dce4dd40cb']
0,social-graph-redis-6dc48b5447-d7xn7,['cali0813593a8f0']
0,social-graph-service-9df948949-cfwnm,['cali5a9eb9016b4']
0,text-service-7b6f8767c9-txskt,['caliac6b57d3bba']
0,unique-id-service-5cccc69dc6-chmvq,['calif59ef22d956']
0,url-shorten-memcached-6765c676f7-8f8lg,['calid4de69d324a']
0,url-shorten-mongodb-7c7758f87c-9s2z9,['cali9ed83ef8357']
0,url-shorten-service-766c85bf68-f8tfb,['cali18e7763d261']
0,user-memcached-64d99c88d5-mmwf7,['cali016c6d0abd6']
0,user-mention-service-58cb87cd75-jvnz2,['calib4725970d89']
0,user-mongodb-7dcb8854df-xk7pl,['cali06bc719aa28']
0,user-service-bc7445c59-6tncs,['cali03ce2e3247f']
0,user-timeline-mongodb-64d945447c-d7q5k,['cali0c8069b663f']
0,user-timeline-redis-77b654db84-fz5m5,['califdab0b7786c']
0,user-timeline-service-7dd944956b-dxdng,['enp0s31f6 cali2969564959b cali016c6d0abd6 califdab0b7786c cali2e06b6f410c calice608c3a276 calib31bcf92f91']
